ticker,company,sector,location,founded_year,date_added
MMM,3M,Industrials,Minnesota,1902,1957-03-04
AOS,A. O. Smith,Industrials,Wisconsin,1916,2017-07-26
ABT,Abbott Laboratories,Health Care,Illinois,1888,1957-03-04
ABBV,AbbVie,Health Care,Illinois,2013,2012-12-31
ACN,Accenture,Information Technology,Ireland,1989,2011-07-06
ADBE,Adobe Inc.,Information Technology,California,1982,1997-05-05
AMD,Advanced Micro Devices,Information Technology,California,1969,2017-03-20
AES,AES Corporation,Utilities,Virginia,1981,1998-10-02
AFL,Aflac,Financials,Georgia,1955,1999-05-28
A,Agilent Technologies,Health Care,California,1999,2000-06-05
APD,Air Products,Materials,Pennsylvania,1940,1985-04-30
ABNB,Airbnb,Consumer Discretionary,California,2008,2023-09-18
AKAM,Akamai Technologies,Information Technology,Massachusetts,1998,2007-07-12
ALB,Albemarle Corporation,Materials,North Carolina,1994,2016-07-01
ARE,Alexandria Real Estate Equities,Real Estate,California,1994,2017-03-20
ALGN,Align Technology,Health Care,Arizona,1997,2017-06-19
ALLE,Allegion,Industrials,Ireland,1908,2013-12-02
LNT,Alliant Energy,Utilities,Wisconsin,1917,2016-07-01
ALL,Allstate,Financials,Illinois,1931,1995-07-13
GOOGL,Alphabet Inc. (Class A),Communication Services,California,1998,2014-04-03
GOOG,Alphabet Inc. (Class C),Communication Services,California,1998,2006-04-03
MO,Altria,Consumer Staples,Virginia,1985,1957-03-04
AMZN,Amazon,Consumer Discretionary,Washington,1994,2005-11-18
AMCR,Amcor,Materials,United Kingdom,2019,2019-06-07
AEE,Ameren,Utilities,Missouri,1902,1991-09-19
AEP,American Electric Power,Utilities,Ohio,1906,1957-03-04
AXP,American Express,Financials,New York,1850,1976-06-30
AIG,American International Group,Financials,New York,1919,1980-03-31
AMT,American Tower,Real Estate,Massachusetts,1995,2007-11-19
AWK,American Water Works,Utilities,New Jersey,1886,2016-03-04
AMP,Ameriprise Financial,Financials,Minnesota,1894,2005-10-03
AME,Ametek,Industrials,Pennsylvania,1930,2013-09-23
AMGN,Amgen,Health Care,California,1980,1992-01-02
APH,Amphenol,Information Technology,Connecticut,1932,2008-09-30
ADI,Analog Devices,Information Technology,Massachusetts,1965,1999-10-12
ANSS,Ansys,Information Technology,Pennsylvania,1969,2017-06-19
AON,Aon plc,Financials,United Kingdom,1982,1996-04-23
APA,APA Corporation,Energy,Texas,1954,1997-07-28
APO,Apollo Global Management,Financials,New York,1990,2024-12-23
AAPL,Apple Inc.,Information Technology,California,1977,1982-11-30
AMAT,Applied Materials,Information Technology,California,1967,1995-03-16
APTV,Aptiv,Consumer Discretionary,Ireland,1994,2012-12-24
ACGL,Arch Capital Group,Financials,Bermuda,1995,2022-11-01
ADM,Archer Daniels Midland,Consumer Staples,Illinois,1902,1957-03-04
ANET,Arista Networks,Information Technology,California,2004,2018-08-28
AJG,Arthur J. Gallagher & Co.,Financials,Illinois,1927,2016-05-31
AIZ,Assurant,Financials,Georgia,1892,2007-04-10
T,AT&T,Communication Services,Texas,1983,1983-11-30
ATO,Atmos Energy,Utilities,Texas,1906,2019-02-15
ADSK,Autodesk,Information Technology,California,1982,1989-12-01
ADP,Automatic Data Processing,Industrials,New Jersey,1949,1981-03-31
AZO,AutoZone,Consumer Discretionary,Tennessee,1979,1997-01-02
AVB,AvalonBay Communities,Real Estate,Virginia,1978,2007-01-10
AVY,Avery Dennison,Materials,Ohio,1935,1987-12-31
AXON,Axon Enterprise,Industrials,Arizona,1993,2023-05-04
BKR,Baker Hughes,Energy,Texas,2017,2017-07-07
BALL,Ball Corporation,Materials,Colorado,1880,1984-10-31
BAC,Bank of America,Financials,North Carolina,1998,1976-06-30
BAX,Baxter International,Health Care,Illinois,1931,1972-09-30
BDX,Becton Dickinson,Health Care,New Jersey,1897,1972-09-30
