date,ticker,open,high,low,close,volume,ma_10,ma_20,ema_20,momentum,volatility,next_day_return
2025-01-02,AAPL,248.657,248.826,241.554,243.582,55740700,,,243.582,,,-0.00200947
2025-01-03,AAPL,243.093,243.912,241.624,243.093,40244100,,,243.536,,,0.00673899
2025-01-06,AAPL,244.042,247.058,242.933,244.731,45045600,,,243.649,,,-0.0113877
2025-01-07,AAPL,242.713,245.28,241.085,241.944,40856000,,,243.487,,,0.00202295
2025-01-08,AAPL,241.654,243.442,239.786,242.433,37628900,,,243.387,,,-0.0241038
2025-01-10,AAPL,239.746,239.896,232.744,236.59,61710900,,,242.739,-6.99232,,-0.0103441
2025-01-13,AAPL,233.274,234.412,229.468,234.143,49630700,,,241.921,-8.95016,,-0.00477818
2025-01-14,AAPL,234.492,235.861,232.215,233.024,39435300,,,241.073,-11.7071,,0.0196759
2025-01-15,AAPL,234.382,238.698,234.173,237.609,39832000,,,240.743,-4.33525,,-0.0404002
2025-01-16,AAPL,237.089,237.749,227.78,228.009,71759100,238.516,,239.531,-14.4241,,0.00753526
2025-01-17,AAPL,231.865,232.035,228.229,229.727,68488300,237.13,,238.597,-6.86246,,-0.0319158
2025-01-21,AAPL,223.754,224.174,219.139,222.395,98070400,235.061,,237.054,-11.7471,,0.00534494
2025-01-22,AAPL,219.549,223.874,219.549,223.584,64126500,232.946,,235.771,-9.43962,,-0.000759445
2025-01-23,AAPL,224.493,226.781,222.056,223.414,60234800,231.093,,234.594,-14.1944,,-0.00393459
2025-01-24,AAPL,224.533,225.382,221.167,222.535,54697900,229.103,,233.446,-5.47398,,0.0317802
2025-01-27,AAPL,223.774,231.895,223.734,229.608,94863400,228.405,,233.08,-0.119873,,0.036544
2025-01-28,AAPL,230.596,239.926,230.557,237.998,75707600,228.79,,233.549,15.6028,,0.00461684
2025-01-29,AAPL,233.863,239.597,233.753,239.097,45486100,229.398,,234.077,15.513,,-0.00739476
2025-01-30,AAPL,238.408,240.526,236.949,237.329,55658300,229.37,,234.387,13.9147,,-0.00669215
2025-01-31,AAPL,246.919,246.919,233.184,235.741,101075100,230.143,234.329,234.516,13.2055,7.46423,-0.033856
2025-02-03,AAPL,229.737,231.575,225.452,227.76,73063300,229.946,233.538,233.872,-1.84796,7.26784,0.0210079
2025-02-04,AAPL,227,232.874,226.401,232.544,45067300,230.961,233.011,233.746,-5.45399,6.91202,-0.00141752
2025-02-05,AAPL,228.279,232.414,228.019,232.215,39620300,231.824,232.385,233.6,-6.88243,6.33779,0.00322622
2025-02-06,AAPL,231.036,233.543,230.177,232.964,29925300,232.779,231.936,233.539,-4.36519,5.92991,-0.0239688
2025-02-07,AAPL,232.345,233.743,227.01,227.38,39707200,233.264,231.183,232.953,-8.36081,5.46445,0.00118739
2025-02-10,AAPL,229.57,230.59,227.2,227.65,33115600,233.068,230.736,232.448,-0.109589,5.36362,0.0218318
